fogground,snowfall,dust,snowdepth,mist,drizzle,hail,fastest2minwindspeed,thunder,glaze,snow,ice,fog,temperaturemin,fastest5secwindspeed,freezingfog,temperaturemax,blowingsnow,freezingrain,rain,highwind,date,precipitation,fogheavy,smokehaze,avgwindspeed,fastest2minwinddir,fastest5secwinddir
No,0,No,0,Yes,No,No,17.9,No,No,No,No,Yes,50,21.92,No,71.1,No,No,Yes,No,2007-01-06,0.13,No,No,8.05,230,230
No,0,No,0,No,No,No,23.04,No,No,No,No,No,30,29.08,No,55,No,No,Yes,No,2007-01-09,0,No,No,7.61,280,270
No,0,No,0,No,No,No,21.03,No,No,No,No,No,50,25.05,No,73.9,No,No,No,No,2007-01-14,0,No,No,8.5,230,230
No,0,No,0,No,No,No,23.94,No,No,No,No,No,57,29.08,No,73.9,No,No,No,No,2007-01-15,0,No,No,13.2,230,230
No,0,No,0,No,No,No,16.11,No,No,No,No,No,26.1,21.03,No,48,No,No,No,No,2007-01-20,0,No,No,4.92,290,320
No,0,No,0,Yes,Yes,No,8.05,No,No,No,No,Yes,33.1,12.08,No,41,No,No,Yes,No,2007-01-22,0.08,No,No,2.01,230,10
No,0,No,0,No,No,No,14.09,No,No,No,No,Yes,30,17,No,48.9,No,No,No,No,2007-01-24,0,No,No,2.91,50,50
No,0,No,0,No,No,No,19.91,No,No,No,No,No,32,23.04,No,64,No,No,No,No,2007-01-27,0,No,No,11.41,230,230
No,0,No,0,No,No,No,17.9,No,No,No,No,No,24.1,21.03,No,48.9,No,No,No,No,2007-01-30,0,No,No,5.82,220,220
No,0,No,0,No,No,No,14.99,No,No,No,No,No,27,17.9,No,48,No,No,No,No,2007-02-08,0,No,No,3.13,300,280
No,0,No,0,No,No,No,19.91,No,No,No,No,No,26.1,23.04,No,64,No,No,No,No,2007-02-12,0,No,No,4.03,220,220
No,0,No,0,Yes,No,No,21.03,No,No,No,No,Yes,37.9,25.95,No,50,No,No,Yes,No,2007-02-13,0.59,Yes,No,6.71,10,10
